Customer_ID,Recency,Frequency,Monetary,Average_Purchase_Value,Lifetime_Value_Proxy,Cluster,Customer_Type
C10000,40,11,24023.98,2183.998181818182,24023.98,2,At-Risk / Low Value
C10001,22,7,18747.29,2678.184285714286,18747.29,0,Potential / Growing
C10002,12,12,27303.05,2275.2541666666666,27303.05,3,Potential / Growing
C10003,31,10,19044.97,1904.497,19044.97,2,At-Risk / Low Value
C10004,5,10,30586.620000000003,3058.6620000000003,30586.620000000003,3,Potential / Growing
C10005,1,9,36737.55,4081.9500000000003,36737.55,1,Champions / High Value
C10006,43,6,14025.160000000002,2337.526666666667,14025.160000000002,2,At-Risk / Low Value
C10007,2,8,12815.68,1601.96,12815.68,0,Potential / Growing
C10008,42,8,9510.78,1188.8475,9510.78,2,At-Risk / Low Value
C10009,1,6,6900.8,1150.1333333333334,6900.8,0,Potential / Growing
C10010,23,9,16707.14,1856.3488888888887,16707.14,0,Potential / Growing
C10011,36,6,12877.470000000001,2146.2450000000003,12877.470000000001,2,At-Risk / Low Value
C10012,2,9,22586.14,2509.571111111111,22586.14,3,Potential / Growing
C10013,1,12,25988.579999999998,2165.7149999999997,25988.579999999998,3,Potential / Growing
C10014,10,13,27105.760000000002,2085.058461538462,27105.760000000002,1,Champions / High Value
C10015,6,12,20548.940000000002,1712.4116666666669,20548.940000000002,3,Potential / Growing
C10016,2,5,19926.33,3985.2660000000005,19926.33,0,Potential / Growing
C10017,33,6,6418.3,1069.7166666666667,6418.3,2,At-Risk / Low Value
C10018,11,12,43002.08,3583.5066666666667,43002.08,1,Champions / High Value
C10019,13,11,32843.55,2985.777272727273,32843.55,1,Champions / High Value
C10020,31,6,8493.79,1415.631666666667,8493.79,2,At-Risk / Low Value
C10021,7,16,36035.91,2252.244375,36035.91,1,Champions / High Value
C10022,41,7,12713.89,1816.27,12713.89,2,At-Risk / Low Value
C10023,3,8,14875.02,1859.3775,14875.02,0,Potential / Growing
C10024,4,12,20543.57,1711.9641666666666,20543.57,3,Potential / Growing
C10025,5,8,20115.879999999997,2514.4849999999997,20115.879999999997,0,Potential / Growing
C10026,8,13,24323.13,1871.01,24323.13,3,Potential / Growing
C10027,8,9,20320.57,2257.841111111111,20320.57,3,Potential / Growing
C10028,6,6,12911.42,2151.903333333333,12911.42,0,Potential / Growing
C10029,3,11,24014.26,2183.1145454545454,24014.26,3,Potential / Growing
C10030,2,15,29550.78,1970.052,29550.78,1,Champions / High Value
C10031,26,9,25409.86,2823.317777777778,25409.86,3,Potential / Growing
C10032,6,5,11011.6,2202.32,11011.6,0,Potential / Growing
C10033,10,12,23725.13,1977.0941666666668,23725.13,3,Potential / Growing
C10034,6,13,19199.81,1476.9084615384616,19199.81,3,Potential / Growing
C10035,1,10,41662.92,4166.2919999999995,41662.92,1,Champions / High Value
C10036,2,16,38588.1,2411.75625,38588.1,1,Champions / High Value
C10037,4,4,27452.06,6863.015,27452.06,0,Potential / Growing
C10038,3,5,9769.22,1953.8439999999998,9769.22,0,Potential / Growing
C10039,16,9,21234.0,2359.3333333333335,21234.0,3,Potential / Growing
C10040,4,16,27083.64,1692.7275,27083.64,1,Champions / High Value
C10041,11,9,17707.510000000002,1967.5011111111114,17707.510000000002,0,Potential / Growing
C10042,12,7,19955.82,2850.8314285714287,19955.82,0,Potential / Growing
C10043,27,11,18143.5,1649.409090909091,18143.5,3,Potential / Growing
C10044,12,7,17179.25,2454.1785714285716,17179.25,0,Potential / Growing
C10045,17,6,6148.6900000000005,1024.7816666666668,6148.6900000000005,0,Potential / Growing
C10046,11,9,33445.61,3716.178888888889,33445.61,3,Potential / Growing
C10047,2,4,10500.119999999999,2625.0299999999997,10500.119999999999,0,Potential / Growing
C10048,5,9,10524.19,1169.3544444444444,10524.19,0,Potential / Growing
C10049,29,9,13611.8,1512.4222222222222,13611.8,2,At-Risk / Low Value
C10050,12,6,6004.799999999999,1000.7999999999998,6004.799999999999,0,Potential / Growing
C10051,29,10,11726.99,1172.699,11726.99,2,At-Risk / Low Value
C10052,33,9,17979.41,1997.7122222222222,17979.41,2,At-Risk / Low Value
C10053,1,14,32745.96,2338.997142857143,32745.96,1,Champions / High Value
C10054,15,11,25312.02,2301.092727272727,25312.02,3,Potential / Growing
C10055,8,12,37731.6,3144.2999999999997,37731.6,1,Champions / High Value
C10056,3,13,23153.99,1781.076153846154,23153.99,3,Potential / Growing
C10057,8,11,21065.71,1915.0645454545454,21065.71,3,Potential / Growing
C10058,5,14,42697.08,3049.7914285714287,42697.08,1,Champions / High Value
C10059,17,13,35791.909999999996,2753.223846153846,35791.909999999996,1,Champions / High Value
C10060,10,9,23652.37,2628.041111111111,23652.37,3,Potential / Growing
C10061,3,13,21366.51,1643.5776923076921,21366.51,3,Potential / Growing
C10062,10,13,37514.6,2885.7384615384613,37514.6,1,Champions / High Value
C10063,12,13,23430.74,1802.3646153846155,23430.74,3,Potential / Growing
C10064,14,10,44101.58,4410.158,44101.58,1,Champions / High Value
C10065,6,10,16283.25,1628.325,16283.25,3,Potential / Growing
C10066,6,9,21256.53,2361.8366666666666,21256.53,3,Potential / Growing
C10067,16,8,22588.09,2823.51125,22588.09,3,Potential / Growing
C10068,16,10,17533.26,1753.3259999999998,17533.26,3,Potential / Growing
C10069,5,10,15436.26,1543.626,15436.26,0,Potential / Growing
C10070,9,8,16450.03,2056.25375,16450.03,0,Potential / Growing
C10071,28,17,46418.4,2730.494117647059,46418.4,1,Champions / High Value
C10072,48,9,15923.16,1769.24,15923.16,2,At-Risk / Low Value
C10073,18,11,15672.58,1424.78,15672.58,3,Potential / Growing
C10074,2,13,37456.76,2881.289230769231,37456.76,1,Champions / High Value
C10075,4,7,10794.400000000001,1542.0571428571432,10794.400000000001,0,Potential / Growing
C10076,1,18,53760.46,2986.692222222222,53760.46,1,Champions / High Value
C10077,18,9,12735.59,1415.0655555555556,12735.59,0,Potential / Growing
C10078,10,10,12687.48,1268.748,12687.48,0,Potential / Growing
C10079,4,11,42370.76,3851.887272727273,42370.76,1,Champions / High Value
C10080,13,10,17486.38,1748.6380000000001,17486.38,3,Potential / Growing
C10081,33,9,32539.670000000002,3615.5188888888893,32539.670000000002,3,Potential / Growing
C10082,9,10,17139.5,1713.95,17139.5,3,Potential / Growing
C10083,1,12,28551.210000000003,2379.2675000000004,28551.210000000003,1,Champions / High Value
C10084,3,12,18245.94,1520.495,18245.94,3,Potential / Growing
C10085,28,7,20235.44,2890.7771428571427,20235.44,2,At-Risk / Low Value
C10086,18,10,15983.060000000001,1598.306,15983.060000000001,3,Potential / Growing
C10087,7,5,10018.96,2003.792,10018.96,0,Potential / Growing
C10088,10,10,17853.15,1785.315,17853.15,3,Potential / Growing
C10089,16,13,33049.380000000005,2542.26,33049.380000000005,1,Champions / High Value
C10090,10,13,21346.74,1642.056923076923,21346.74,3,Potential / Growing
C10091,5,10,13813.79,1381.3790000000001,13813.79,0,Potential / Growing
C10092,1,17,19502.32,1147.195294117647,19502.32,1,Champions / High Value
C10093,22,15,28459.850000000002,1897.3233333333335,28459.850000000002,1,Champions / High Value
C10094,1,7,23400.82,3342.9742857142855,23400.82,0,Potential / Growing
C10095,94,4,3728.29,932.0725,3728.29,2,At-Risk / Low Value
C10096,1,14,29814.99,2129.642142857143,29814.99,1,Champions / High Value
C10097,1,14,36681.28,2620.0914285714284,36681.28,1,Champions / High Value
C10098,28,7,16350.880000000001,2335.84,16350.880000000001,2,At-Risk / Low Value
C10099,1,16,53576.3,3348.51875,53576.3,1,Champions / High Value
C10100,9,8,17710.65,2213.83125,17710.65,0,Potential / Growing
C10101,2,12,26800.71,2233.3925,26800.71,3,Potential / Growing
C10102,5,8,19552.02,2444.0025,19552.02,0,Potential / Growing
C10103,63,9,19980.79,2220.087777777778,19980.79,2,At-Risk / Low Value
C10104,5,11,20779.940000000002,1889.0854545454547,20779.940000000002,3,Potential / Growing
C10105,8,10,19123.280000000002,1912.3280000000002,19123.280000000002,3,Potential / Growing
C10106,12,15,30366.33,2024.422,30366.33,1,Champions / High Value
C10107,18,7,18577.27,2653.8957142857143,18577.27,0,Potential / Growing
C10108,14,11,25612.04,2328.367272727273,25612.04,3,Potential / Growing
C10109,22,9,15361.47,1706.83,15361.47,0,Potential / Growing
C10110,36,6,14493.54,2415.59,14493.54,2,At-Risk / Low Value
C10111,41,11,15523.87,1411.260909090909,15523.87,2,At-Risk / Low Value
C10112,6,14,26257.16,1875.5114285714285,26257.16,1,Champions / High Value
C10113,16,12,34581.39,2881.7825,34581.39,1,Champions / High Value
C10114,5,8,28073.34,3509.1675,28073.34,3,Potential / Growing
C10115,18,13,36208.07,2785.2361538461537,36208.07,1,Champions / High Value
