Customer_ID,Purchase_Date,Quantity,Unit_Price,Total_Amount,Product_Category
C10053,2024-09-05,3,642.16,1926.48,Beverages
C10464,2024-09-29,2,703.91,1407.82,Home Care
C10392,2024-08-15,4,408.08,1632.32,Grocery
C10263,2024-07-14,2,323.75,647.5,Home Care
C10259,2024-09-07,3,511.38,1534.1399999999999,Home Care
C10515,2024-10-04,4,502.83,2011.32,Snacks
C10051,2024-09-18,4,432.24,1728.96,Beverages
C10418,2024-09-08,6,340.0,2040.0,Beverages
C10120,2024-12-19,6,888.23,5329.38,Beverages
C10056,2024-12-03,2,401.26,802.52,Grocery
C10315,2024-09-05,3,288.68,866.04,Personal Care
C10585,2024-10-22,2,624.9,1249.8,Personal Care
C10441,2024-06-14,5,606.03,3030.1499999999996,Snacks
C10456,2024-11-13,1,321.74,321.74,Personal Care
C10430,2024-06-20,3,436.9,1310.6999999999998,Home Care
C10471,2024-11-28,7,957.4,6701.8,Home Care
C10307,2024-11-21,1,408.86,408.86,Home Care
C10076,2024-12-19,8,976.03,7808.24,Snacks
C10503,2024-06-06,4,450.78,1803.12,Snacks
C10270,2024-11-12,1,391.83,391.83,Grocery
C10300,2024-11-11,2,275.26,550.52,Home Care
C10222,2024-09-25,5,324.74,1623.7,Snacks
C10109,2024-11-23,3,470.99,1412.97,Beverages
C10556,2024-10-24,1,516.14,516.14,Snacks
C10468,2024-12-01,6,349.29,2095.7400000000002,Personal Care
C10386,2024-09-14,1,312.69,312.69,Snacks
C10241,2024-08-12,1,308.21,308.21,Snacks
C10493,2024-07-20,3,427.55,1282.65,Beverages
C10327,2024-09-26,3,992.19,2976.57,Personal Care
C10266,2024-11-25,7,982.32,6876.240000000001,Grocery
C10270,2024-09-04,4,737.62,2950.48,Personal Care
C10136,2024-11-14,2,574.88,1149.76,Personal Care
C10055,2024-10-04,1,284.07,284.07,Grocery
C10332,2024-10-08,3,738.82,2216.46,Snacks
C10532,2024-12-18,7,844.1,5908.7,Snacks
C10038,2024-12-11,3,507.78,1523.34,Personal Care
C10514,2024-12-17,3,370.42,1111.26,Beverages
C10496,2024-11-01,4,371.64,1486.56,Home Care
C10166,2024-10-26,2,439.18,878.36,Grocery
C10378,2024-10-13,2,294.14,588.28,Personal Care
C10099,2024-09-04,3,298.41,895.23,Home Care
C10454,2024-09-15,3,870.27,2610.81,Beverages
C10420,2024-07-14,5,364.17,1820.8500000000001,Grocery
C10212,2024-10-04,2,293.04,586.08,Grocery
C10040,2024-12-12,1,481.13,481.13,Personal Care
C10582,2024-08-28,2,236.24,472.48,Home Care
C10267,2024-11-05,3,434.68,1304.04,Beverages
C10535,2024-10-21,6,768.63,4611.78,Snacks
C10406,2024-11-09,1,532.04,532.04,Snacks
C10467,2024-12-14,3,267.99,803.97,Grocery
C10455,2024-11-16,5,928.32,4641.6,Snacks
C10116,2024-10-02,2,605.28,1210.56,Home Care
C10218,2024-07-18,3,399.25,1197.75,Home Care
C10280,2024-12-19,2,419.58,839.16,Grocery
C10298,2024-11-09,4,712.1,2848.4,Personal Care
C10026,2024-12-12,2,388.81,777.62,Grocery
C10327,2024-11-17,6,359.48,2156.88,Personal Care
C10092,2024-07-14,1,298.2,298.2,Personal Care
C10446,2024-08-08,2,358.6,717.2,Home Care
C10409,2024-11-26,3,260.09,780.27,Snacks
C10553,2024-09-15,6,393.31,2359.86,Grocery
C10446,2024-12-24,2,318.02,636.04,Beverages
C10219,2024-12-16,5,482.58,2412.9,Snacks
C10580,2024-11-04,3,310.42,931.26,Grocery
C10246,2024-11-18,3,984.77,2954.31,Home Care
C10195,2024-10-16,4,597.08,2388.32,Personal Care
C10543,2024-12-07,7,1034.56,7241.92,Home Care
C10222,2024-11-19,4,598.44,2393.76,Personal Care
C10045,2024-08-27,2,591.01,1182.02,Snacks
C10281,2024-11-30,6,900.63,5403.78,Beverages
C10477,2024-09-11,2,389.04,778.08,Grocery
C10113,2024-12-03,2,970.01,1940.02,Snacks
C10277,2024-09-15,3,517.76,1553.28,Grocery
C10077,2024-09-27,5,133.69,668.45,Home Care
C10411,2024-07-06,1,308.05,308.05,Personal Care
C10285,2024-11-02,1,169.26,169.26,Grocery
C10198,2024-07-26,1,388.86,388.86,Snacks
C10136,2024-09-12,4,346.37,1385.48,Snacks
C10338,2024-10-28,2,439.18,878.36,Beverages
C10401,2024-04-28,3,532.49,1597.47,Beverages
C10564,2024-10-05,2,768.18,1536.36,Home Care
C10262,2024-06-19,3,327.34,982.02,Beverages
C10096,2024-11-09,5,402.68,2013.4,Grocery
C10499,2024-11-07,10,989.91,9899.1,Home Care
C10377,2024-10-12,2,464.19,928.38,Grocery
C10420,2024-06-27,4,500.8,2003.2,Beverages
C10058,2024-10-20,6,1000.34,6002.04,Grocery
C10187,2024-11-19,10,1011.63,10116.3,Snacks
C10460,2024-11-15,2,647.37,1294.74,Beverages
C10499,2024-09-22,1,693.96,693.96,Beverages
C10261,2024-09-25,4,564.62,2258.48,Beverages
C10482,2024-12-03,4,244.8,979.2,Snacks
C10505,2024-10-15,4,927.37,3709.48,Home Care
C10232,2024-09-22,2,394.03,788.06,Personal Care
C10538,2024-11-22,7,855.96,5991.72,Home Care
C10172,2024-06-06,3,508.95,1526.85,Snacks
C10143,2024-09-14,2,327.44,654.88,Snacks
C10409,2024-09-07,3,476.86,1430.58,Snacks
C10382,2024-06-20,5,664.81,3324.0499999999997,Grocery
C10083,2024-08-13,3,238.49,715.47,Snacks
C10499,2024-12-30,6,345.19,2071.14,Home Care
C10119,2024-10-02,2,325.02,650.04,Personal Care
C10482,2024-10-28,1,475.46,475.46,Grocery
C10004,2024-09-04,5,378.15,1890.75,Home Care
C10478,2024-12-04,3,419.05,1257.15,Grocery
C10472,2024-06-01,5,660.55,3302.75,Grocery
C10468,2024-12-01,6,1231.71,7390.26,Grocery
C10398,2024-09-26,1,396.5,396.5,Grocery
C10282,2024-11-11,1,359.07,359.07,Grocery
C10423,2024-11-19,4,778.5,3114.0,Snacks
C10166,2024-07-24,2,379.06,758.12,Personal Care
C10468,2024-09-01,1,310.21,310.21,Home Care
C10333,2024-12-24,6,984.58,5907.4800000000005,Home Care
C10275,2024-09-18,2,286.03,572.06,Grocery
C10303,2024-11-18,4,462.34,1849.36,Personal Care
C10341,2024-08-20,2,461.69,923.38,Snacks
C10022,2024-08-30,3,355.61,1066.83,Grocery
C10083,2024-12-26,3,803.22,2409.66,Home Care
C10147,2024-12-24,1,312.92,312.92,Home Care
C10068,2024-12-05,4,1087.05,4348.2,Snacks
C10263,2024-11-28,3,434.17,1302.51,Home Care
