Invoice_ID,Invoice_Date,City,Store_Format,Category,Brand,Channel,Payment_Mode,Units,Cost_Price,Selling_Price,Revenue,Cost,Margin,Margin_%,Stock_On_Hand,Reorder_Level,Lead_Time_Days,Customer_Age,Customer_Gender,Loyalty_Flag
35211273,2024-04-12 04:48:00,Delhi,Super,Home Care,Parle,Online,Cash,2,78.4569055570133,85.07029877260779,170.14059754521557,156.9138111140266,13.22678643118897,0.0777403313613842,192,58,14,49.0,O,0
13991593,2024-04-10 13:44:00,Pune,Super,Personal Care,Nestle,Online,Cash,1,178.3187299407813,200.7417857214983,200.7417857214983,178.3187299407813,22.423055780716997,0.1117009879140255,284,40,7,57.0,F,0
88403577,2024-12-02 19:58:00,Delhi,Express,Vegetables,Nestle,Online,Card,5,22.76139754957428,32.627721914070534,163.13860957035268,113.80698774787136,49.33162182248131,0.3023908439112159,105,66,13,,M,0
75157107,2024-08-23 02:12:00,Ahmedabad,Hyper,Beverages,Britannia,Offline,Cash,1,85.86687650522116,103.85929353277534,103.85929353277534,85.86687650522116,17.992417027554183,0.1732383922087457,469,65,8,,M,0
56273032,2024-09-08 03:22:00,Hyderabad,Express,Home Care,ITC,Offline,Wallet,1,38.80596304216324,48.49058198781181,48.49058198781181,38.80596304216324,9.684618945648566,0.1997216479703793,498,77,5,27.0,M,0
73856883,2024-08-20 21:41:00,Bengaluru,Hyper,Dairy,Britannia,Omnichannel,Card,4,129.7463970188489,174.13303094853413,696.5321237941365,518.9855880753956,177.54653571874087,0.2549007140569666,56,32,3,,M,0
14598758,2024-08-12 05:18:00,Hyderabad,Super,Snacks,ITC,Omnichannel,Cash,2,116.21277361213248,160.2481418023934,320.4962836047868,232.42554722426496,88.07073638052185,0.2747948755908958,142,23,13,23.0,M,1
87246413,2024-12-12 01:04:00,Ahmedabad,Express,Personal Care,PepsiCo,Omnichannel,Wallet,1,91.4528855342462,111.81339076353795,111.81339076353795,91.4528855342462,20.36050522929177,0.1820936212582087,340,71,5,,M,0
69808347,2024-10-20 01:25:00,Delhi,Express,Personal Care,Amul,Online,Card,1,26.22514979598578,34.94102316634132,34.94102316634132,26.22514979598578,8.715873370355538,0.2494452818070748,77,42,9,20.0,F,1
34684314,2024-07-01 13:50:00,Hyderabad,Express,Fruits,Amul,Omnichannel,Wallet,3,123.60627430687502,158.7875067437274,476.3625202311822,370.81882292062505,105.54369731055716,0.2215617157691919,137,73,9,19.0,F,0
51934699,2024-09-02 16:15:00,Hyderabad,Super,Beverages,HUL,Offline,Cash,3,49.33148279923032,61.54990136894767,184.64970410684305,147.99444839769097,36.65525570915207,0.1985123988497832,157,74,8,61.0,M,0
19669559,2024-11-30 19:25:00,Ahmedabad,Express,Vegetables,Amul,Offline,UPI,2,66.49474587971416,81.44822440705143,162.89644881410285,132.98949175942832,29.906957054674532,0.1835948989213651,147,74,11,19.0,F,0
43533375,2024-04-15 00:36:00,Mumbai,Express,Vegetables,Amul,Omnichannel,Wallet,5,80.12493813537225,89.43241493895555,447.16207469477774,400.6246906768612,46.53738401791651,0.1040727437578015,204,25,10,,F,1
12774288,2024-03-25 09:59:00,Hyderabad,Hyper,Beverages,Nestle,Offline,Wallet,4,191.13913982223005,248.5891269433978,994.3565077735911,764.5565592889202,229.79994848467092,0.2311041831457445,119,33,12,41.0,M,1
61534523,2024-10-27 14:12:00,Hyderabad,Super,Snacks,ITC,Offline,Wallet,4,161.10208347867675,187.25186171495852,749.0074468598342,644.408333914707,104.59911294512722,0.1396502977155331,251,47,4,57.0,,1
79220615,2024-06-07 17:02:00,Hyderabad,Hyper,Personal Care,Tata,Offline,Card,3,63.572168777745446,71.81673352715386,215.4502005814616,190.71650633323637,24.73369424822522,0.1148000520838384,337,72,13,,M,0
77641763,2024-10-22 17:27:00,Hyderabad,Express,Fruits,Amul,Omnichannel,Wallet,2,131.85154495614498,150.68236545485567,301.36473090971134,263.70308991228995,37.66164099742139,0.1249703005515426,484,51,10,36.0,O,1
71341638,2024-01-03 01:41:00,Bengaluru,Express,Personal Care,HUL,Online,Card,3,23.637472550458384,33.68769524411562,101.06308573234688,70.91241765137515,30.150668080971727,0.2983351226858643,173,54,14,,FEMALE,0
87062967,2024-08-14 07:42:00,Ahmedabad,Express,Grocery,PepsiCo,Offline,UPI,5,116.4379692839962,140.11492450622788,700.5746225311394,582.189846419981,118.38477611115844,0.1689823928869139,436,68,6,36.0,M,0
84656952,2024-10-01 11:14:00,Bengaluru,Express,Beverages,Britannia,Offline,Card,5,39.53661109391029,53.17874350757577,265.89371753787884,197.68305546955145,68.2106620683274,0.2565335604765095,334,31,6,55.0,M,1
97182128,2024-10-15 10:48:00,Ahmedabad,Express,Beverages,Nestle,Online,UPI,3,118.12580181173448,132.2688508374511,396.8065525123533,354.37740543520346,42.42914707714988,0.1069265283259882,89,77,3,,M,0
